"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2021-01-03,"Ellis",1500,NA,1693,NA,NA,"141665","24288","3985","1994","54463"
2021-01-03,"Erath",400,NA,255,NA,NA,"34875","6256","1250","481","12564"
2021-01-03,"Fannin",300,NA,614,NA,NA,"28874","6588","962","614","10987"
2021-01-03,"Floyd",200,NA,46,NA,NA,"4371","1070","132","68","1723"
2021-01-03,"Fort Bend",3000,1950,9242,NA,NA,"616413","93851","24721","4977","175581"
2021-01-03,"Franklin",200,NA,96,NA,NA,"8554","2367","169","163","2871"
2021-01-03,"Freestone",100,NA,100,NA,NA,"15808","3996","553","261","6319"
2021-01-03,"Frio",500,NA,92,NA,NA,"16121","2499","186","166","6797"
2021-01-03,"Galveston",1500,2925,4755,NA,NA,"269280","50987","11784","2830","96486"
2021-01-03,"Grayson",500,1950,1813,NA,NA,"107521","24182","9338","2131","40586"
2021-01-03,"Gregg",1500,1950,1294,NA,NA,"95544","19451","7025","2324","37362"
2021-01-03,"Grimes",200,NA,209,NA,NA,"23245","5134","234","311","9653"
2021-01-03,"Guadalupe",1300,NA,1278,NA,NA,"130517","23614","3801","1225","49282"
2021-01-03,"Hale",200,NA,338,NA,NA,"25476","4604","873","399","10561"
2021-01-03,"Hardeman",300,NA,83,NA,NA,"3190","912","102","16","1146"
2021-01-03,"Hardin",300,NA,365,NA,NA,"45112","9762","1003","527","16190"
2021-01-03,"Harris",38425,49725,42237,NA,NA,"3601939","514167","225769","27623","1408024"
2021-01-03,"Harrison",500,NA,449,NA,NA,"51900","11607","3063","608","20509"
2021-01-03,"Hartley",400,NA,18,NA,NA,"4561","861","196","94","1669"
2021-01-03,"Haskell",100,NA,54,NA,NA,"4831","1266","123","68","1872"
2021-01-03,"Hays",100,975,2600,NA,NA,"183380","26187","5488","1907","61462"
2021-01-03,"Hemphill",200,NA,150,NA,NA,"2827","606","104","98","1066"
2021-01-03,"Henderson",300,NA,578,NA,NA,"67238","18534","2043","998","26544"
