"District","Date","County","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Italy ISD (70907)","2020-10-18","Ellis,Navarro",591,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midlothian ISD (70908)","2020-10-18","Dallas,Ellis,Johnson,Tarrant",9802,7251,0,0,11,3,1,3,10,1,11,32,18,1,22,39
"Milford ISD (70909)","2020-10-18","Ellis,Hill",237,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer ISD (70910)","2020-10-18","Ellis",1283,1102,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,4
"Red Oak ISD (70911)","2020-10-18","Dallas,Ellis",5962,3536,0,1,4,5,2,2,6,5,6,42,26,21,29,29
"Waxahachie ISD (70912)","2020-10-18","Ellis",9715,7090,1,0,1,1,0,3,0,7,1,20,10,0,30,8
"Maypearl ISD (70915)","2020-10-18","Ellis,Hill,Johnson",1238,1157,0,0,0,1,0,1,0,0,1,9,2,0,9,3
"Burnham Wood Charter School District (71801)","2020-10-18","El Paso",1263,498,0,0,0,1,0,0,1,0,1,0,1,0,1,1
"Triumph Public High Schools-El Paso (71803)","2020-10-18","El Paso",180,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Academy (71804)","2020-10-18","El Paso",326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Acad (El Paso) (71806)","2020-10-18","El Paso",4150,657,0,2,1,4,2,5,0,2,6,6,16,4,26,0
"La Fe Preparatory School (71807)","2020-10-18","El Paso",178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vista Del Futuro Charter School (71809)","2020-10-18","El Paso",248,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Leadership Academy (71810)","2020-10-18","El Paso",208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clint ISD (71901)","2020-10-18","El Paso,Hudspeth",10687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso ISD (71902)","2020-10-18","El Paso",46907,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabens ISD (71903)","2020-10-18","El Paso",2031,429,0,0,0,3,0,0,3,0,0,1,17,0,4,14
"San Elizario ISD (71904)","2020-10-18","El Paso",3215,66,0,0,0,6,0,6,0,0,0,0,19,0,9,10
"Ysleta ISD (71905)","2020-10-18","El Paso",38542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony ISD (71906)","2020-10-18","El Paso",796,397,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,3,1
"Canutillo ISD (71907)","2020-10-18","El Paso",6007,973,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,7,0
"Tornillo ISD (71908)","2020-10-18","El Paso,Hudspeth",914,371,0,0,0,2,0,2,0,1,1,0,8,0,8,2
"Socorro ISD (71909)","2020-10-18","El Paso",47070,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Premier High Schools (72801)","2020-10-18","Erath",6363,480,0,0,2,4,4,0,2,0,0,11,12,7,9,7
"Erath Excels Academy Inc (72802)","2020-10-18","Erath",91,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Way ISD (72901)","2020-10-18","Erath,Hood,Somervell",215,210,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,0,2,5
"Dublin ISD (72902)","2020-10-18","Comanche,Erath",1080,938,0,0,4,1,0,5,0,0,2,22,8,0,32,0
"Stephenville ISD (72903)","2020-10-18","Erath",3698,3216,1,2,9,4,0,5,11,12,9,41,20,0,21,61
"Bluff Dale ISD (72904)","2020-10-18","Erath,Hood",220,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huckabay ISD (72908)","2020-10-18","Eastland,Erath,Palo Pinto",283,273,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Lingleville ISD (72909)","2020-10-18","Comanche,Eastland,Erath",278,262,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2,0
"Morgan Mill ISD (72910)","2020-10-18","Erath,Palo Pinto",128,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilton ISD (73901)","2020-10-18","Falls,McLennan",519,477,0,1,3,3,1,2,4,2,1,13,8,2,11,11
"Marlin ISD (73903)","2020-10-18","Falls,Limestone,McLennan,Milam,Robertson",862,585,NA,NA,NA,NA,NA,NA,NA,1,0,13,7,0,12,9
"Westphalia ISD (73904)","2020-10-18","Bell,Falls",160,155,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Rosebud-Lott ISD (73905)","2020-10-18","Bell,Falls,Milam,Robertson",687,626,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bonham ISD (74903)","2020-10-18","Fannin,Hunt",1781,1551,1,0,8,0,0,9,0,3,3,9,0,0,15,0
"Dodd City ISD (74904)","2020-10-18","Fannin",340,324,0,0,0,1,0,1,0,0,1,0,1,0,2,0
"Ector ISD (74905)","2020-10-18","Fannin",264,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honey Grove ISD (74907)","2020-10-18","Fannin,Lamar",614,534,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Leonard ISD (74909)","2020-10-18","Collin,Fannin,Hunt",861,668,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,1,3
"Savoy ISD (74911)","2020-10-18","Fannin,Grayson",306,278,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Trenton ISD (74912)","2020-10-18","Collin,Fannin,Grayson",720,598,NA,NA,NA,NA,NA,NA,NA,0,0,6,4,1,2,7
"Sam Rayburn ISD (74917)","2020-10-18","Fannin",523,482,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Flatonia ISD (75901)","2020-10-18","Bastrop,Caldwell,Fayette,Gonzales,Lavaca",600,549,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"La Grange ISD (75902)","2020-10-18","Bastrop,Colorado,Fayette,Lee",1863,1684,NA,NA,NA,NA,NA,NA,NA,2,2,8,0,0,7,5
"Schulenburg ISD (75903)","2020-10-18","Colorado,Fayette,Lavaca",686,660,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Fayetteville ISD (75906)","2020-10-18","Austin,Colorado,Fayette",270,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Round Top-Carmine ISD (75908)","2020-10-18","Austin,Fayette,Lee,Washington",237,210,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Roby Cisd (76903)","2020-10-18","Fisher,Jones,Scurry",311,298,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,3,0
"Rotan ISD (76904)","2020-10-18","Fisher,Kent,Scurry,Stonewall",239,238,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Floydada ISD (77901)","2020-10-18","Briscoe,Crosby,Dickens,Floyd,Hale,Motley",702,641,0,0,4,0,0,0,4,0,0,5,2,0,2,5
"Lockney ISD (77902)","2020-10-18","Briscoe,Floyd,Hale,Swisher",460,412,NA,NA,NA,NA,NA,NA,NA,0,0,4,7,0,5,6
"Crowell ISD (78901)","2020-10-18","Baylor,Cottle,Foard,Hardeman,King,Knox,Wilbarger",197,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamar Cisd (79901)","2020-10-18","Austin,Brazoria,Fort Bend,Waller,Wharton",36062,16288,2,2,9,5,0,1,17,13,11,32,30,5,1,80
"Needville ISD (79906)","2020-10-18","Brazoria,Fort Bend,Wharton",3278,2474,0,0,1,0,0,0,1,1,1,4,0,0,2,4
"Fort Bend ISD (79907)","2020-10-18","Brazoria,Fort Bend,Harris",76227,2826,7,1,10,4,0,2,20,12,2,23,48,6,32,47
"Stafford Msd (79910)","2020-10-18","Fort Bend,Harris",3273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Vernon ISD (80901)","2020-10-18","Camp,Franklin,Hopkins,Red River,Titus,Wood",1523,1309,0,0,8,0,6,2,0,5,5,25,10,11,14,20
"Fairfield ISD (81902)","2020-10-18","Anderson,Freestone,Navarro",1707,1445,0,1,0,0,0,1,0,1,1,8,5,1,5,9
"Teague ISD (81904)","2020-10-18","Freestone,Leon,Limestone",1169,1032,NA,NA,NA,NA,NA,NA,NA,0,0,10,6,0,2,14
"Wortham ISD (81905)","2020-10-18","Freestone,Limestone,Navarro",485,443,0,0,1,0,0,0,1,0,0,1,1,0,0,2
"Dew ISD (81906)","2020-10-18","Freestone",172,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dilley ISD (82902)","2020-10-18","Dimmit,Frio,La Salle,Zavala",888,497,0,0,0,1,0,0,1,0,0,0,2,0,1,1
"Pearsall ISD (82903)","2020-10-18","Atascosa,Frio,La Salle,Medina,Uvalde,Zavala",2123,779,0,0,0,1,0,0,1,0,0,3,6,0,0,9
"Seagraves ISD (83901)","2020-10-18","Gaines,Terry,Yoakum",550,491,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Loop ISD (83902)","2020-10-18","Dawson,Gaines,Terry",146,131,0,0,0,3,0,1,2,0,0,0,3,0,1,2
"Seminole ISD (83903)","2020-10-18","Andrews,Dawson,Gaines,Martin,Yoakum",2953,2730,NA,NA,NA,NA,NA,NA,NA,2,2,9,6,0,13,6
"Odyssey Academy Inc (84802)","2020-10-18","Galveston",1273,634,0,0,0,1,0,1,0,0,0,1,2,2,1,0
"Ambassadors Preparatory Academy (84804)","2020-10-18","Galveston",250,125,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"Dickinson ISD (84901)","2020-10-18","Chambers,Galveston",11538,6192,2,0,8,0,0,2,8,5,4,16,7,0,9,23
"Galveston ISD (84902)","2020-10-18","Brazoria,Chambers,Galveston",6598,3667,0,1,0,2,0,0,3,0,1,1,10,0,9,3
"High Island ISD (84903)","2020-10-18","Chambers,Galveston",185,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas City ISD (84906)","2020-10-18","Galveston",7284,4883,1,0,3,0,0,2,2,3,4,8,8,2,12,9
"Hitchcock ISD (84908)","2020-10-18","Brazoria,Galveston",1610,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Fe ISD (84909)","2020-10-18","Brazoria,Galveston",4323,3215,0,0,0,1,0,0,1,1,0,7,3,3,3,5
"Clear Creek ISD (84910)","2020-10-18","Brazoria,Chambers,Galveston,Harris",40663,26658,NA,NA,NA,NA,NA,NA,NA,10,5,23,11,3,33,13
"Friendswood ISD (84911)","2020-10-18","Brazoria,Galveston,Harris",6098,4553,0,0,2,0,0,2,0,1,3,3,3,0,7,3
"Post ISD (85902)","2020-10-18","Borden,Crosby,Garza,Kent,Lynn,Scurry",794,764,0,0,5,3,0,7,1,0,1,6,6,0,12,1
"Southland ISD (85903)","2020-10-18","Crosby,Garza,Lubbock,Lynn",119,104,0,1,1,0,0,2,0,0,1,1,1,0,3,0
"Doss Consolidated Csd (86024)","2020-10-18","Gillespie,Kimble,Mason",17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fredericksburg ISD (86901)","2020-10-18","Blanco,Gillespie,Kendall,Kerr,Llano,Mason",3106,2655,1,0,4,0,0,1,4,5,9,21,1,2,8,26
"Harper ISD (86902)","2020-10-18","Gillespie,Kerr,Kimble,Mason",545,514,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Glasscock County ISD (87901)","2020-10-18","Glasscock,Howard,Martin,Midland,Reagan,Sterling,Upton",292,275,0,0,0,1,0,1,0,0,0,2,3,0,4,1
"Goliad ISD (88902)","2020-10-18","Bee,DeWitt,Goliad,Karnes,Refugio,Victoria",1256,1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonzales ISD (89901)","2020-10-18","Caldwell,DeWitt,Gonzales,Guadalupe",2677,2628,0,0,3,3,0,4,2,0,1,5,3,0,7,2
"Nixon-Smiley Cisd (89903)","2020-10-18","DeWitt,Gonzales,Guadalupe,Karnes,Wilson",967,808,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Waelder ISD (89905)","2020-10-18","Bastrop,Caldwell,Fayette,Gonzales",294,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lefors ISD (90902)","2020-10-18","Gray,Wheeler",158,158,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Mclean ISD (90903)","2020-10-18","Collingsworth,Donley,Gray,Wheeler",204,199,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Pampa ISD (90904)","2020-10-18","Carson,Gray,Hutchinson,Roberts",3420,2854,1,0,2,2,0,5,0,1,0,8,11,0,10,10
"Grandview-Hopkins ISD (90905)","2020-10-18","Carson,Gray",38,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bells ISD (91901)","2020-10-18","Fannin,Grayson",875,814,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,1,2,2
"Collinsville ISD (91902)","2020-10-18","Cooke,Grayson",549,482,0,0,1,0,0,0,1,0,0,3,5,1,0,7
"Denison ISD (91903)","2020-10-18","Fannin,Grayson",4568,3696,0,1,4,1,0,0,6,2,2,9,8,0,0,21
"Howe ISD (91905)","2020-10-18","Grayson",1267,1125,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,3,1
"Sherman ISD (91906)","2020-10-18","Grayson",7483,5280,0,3,4,2,1,5,3,3,6,13,13,9,16,10
"Tioga ISD (91907)","2020-10-18","Cooke,Denton,Grayson",746,696,0,0,1,1,0,2,0,0,0,3,3,0,6,0
"Van Alstyne ISD (91908)","2020-10-18","Collin,Grayson",1899,1721,NA,NA,NA,NA,NA,NA,NA,0,0,11,2,1,12,0
"Whitesboro ISD (91909)","2020-10-18","Cooke,Grayson",1912,1684,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"Whitewright ISD (91910)","2020-10-18","Collin,Fannin,Grayson",759,677,NA,NA,NA,NA,NA,NA,NA,1,0,4,3,0,5,3
"Pottsboro ISD (91913)","2020-10-18","Grayson",1413,1225,0,2,1,0,0,3,0,0,3,14,6,1,17,5
"S And S Cisd (91914)","2020-10-18","Grayson",988,875,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,1,2
"Gunter ISD (91917)","2020-10-18","Collin,Grayson",982,792,1,0,2,0,0,3,0,6,4,21,6,0,13,24
"Tom Bean ISD (91918)","2020-10-18","Grayson",636,588,NA,NA,NA,NA,NA,NA,NA,0,1,5,0,0,3,3
"East Texas Charter Schools (92801)","2020-10-18","Gregg",132,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladewater ISD (92901)","2020-10-18","Gregg,Smith,Upshur",1740,1412,NA,NA,NA,NA,NA,NA,NA,0,2,3,9,2,3,9
"Kilgore ISD (92902)","2020-10-18","Gregg,Rusk",3936,3314,0,0,5,1,0,1,5,0,3,29,24,1,24,31
"Longview ISD (92903)","2020-10-18","Gregg,Harrison,Rusk,Upshur",8368,5536,1,1,4,0,0,0,6,10,14,31,20,3,9,63
"Pine Tree ISD (92904)","2020-10-18","Gregg",4528,3751,0,0,0,1,0,1,0,0,2,20,9,0,26,5
"Sabine ISD (92906)","2020-10-18","Gregg,Smith",1534,1360,NA,NA,NA,NA,NA,NA,NA,0,2,1,4,0,2,5
"Spring Hill ISD (92907)","2020-10-18","Gregg",2001,1716,0,0,5,3,2,2,4,0,4,11,7,2,4,16
"White Oak ISD (92908)","2020-10-18","Gregg,Upshur",1441,1257,0,0,3,1,0,2,2,3,4,24,17,0,9,39
"Anderson-Shiro Cisd (93901)","2020-10-18","Brazos,Grimes,Montgomery,Walker",902,795,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Iola ISD (93903)","2020-10-18","Brazos,Grimes,Madison",535,497,NA,NA,NA,NA,NA,NA,NA,0,1,9,0,1,4,5
"Navasota ISD (93904)","2020-10-18","Brazos,Burleson,Grimes,Montgomery,Waller,Washington",2881,2311,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,0,4,8
"Richards ISD (93905)","2020-10-18","Grimes,Montgomery,Walker",177,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seguin ISD (94901)","2020-10-18","Caldwell,Gonzales,Guadalupe,Wilson",6737,3384,2,0,0,3,0,4,1,2,1,3,7,0,9,4
"Schertz-Cibolo-U City ISD (94902)","2020-10-18","Bexar,Comal,Guadalupe",15546,8256,4,2,9,5,0,20,0,7,4,16,23,0,50,0
"Navarro ISD (94903)","2020-10-18","Comal,Guadalupe,Hays",1978,1631,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,0,4,0
"Marion ISD (94904)","2020-10-18","Bexar,Guadalupe",1464,1092,0,1,0,0,0,1,0,1,1,1,0,0,3,0
"Abernathy ISD (95901)","2020-10-18","Hale,Hockley,Lamb,Lubbock",803,753,0,0,1,3,0,1,3,0,1,7,5,0,6,7
"Cotton Center ISD (95902)","2020-10-18","Hale,Lamb",97,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hale Center ISD (95903)","2020-10-18","Hale",616,550,0,1,2,4,0,7,0,0,1,5,4,0,10,0
"Petersburg ISD (95904)","2020-10-18","Crosby,Floyd,Hale,Lubbock",283,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plainview ISD (95905)","2020-10-18","Castro,Floyd,Hale,Swisher",4834,4125,0,1,19,13,7,26,0,5,9,50,46,11,97,2
"Memphis ISD (96904)","2020-10-18","Briscoe,Childress,Collingsworth,Cottle,Donley,Hall,Motley",447,418,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,0,6,0
"Turkey-Quitaque ISD (96905)","2020-10-18","Briscoe,Floyd,Hall,Motley",195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hamilton ISD (97902)","2020-10-18","Bosque,Comanche,Hamilton,Mills",813,671,0,0,1,0,0,1,0,1,1,3,1,0,5,1
"Hico ISD (97903)","2020-10-18","Bosque,Comanche,Erath,Hamilton",558,497,0,1,0,1,0,2,0,0,1,2,1,0,4,0
"Gruver ISD (98901)","2020-10-18","Hansford,Sherman",441,434,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Pringle-Morse Cisd (98903)","2020-10-18","Hansford,Hutchinson,Moore,Roberts,Sherman",110,104,0,0,0,1,0,1,0,0,0,0,2,0,2,0
"Spearman ISD (98904)","2020-10-18","Hansford,Hutchinson,Ochiltree,Roberts",807,762,0,1,3,0,0,3,1,1,3,16,20,4,16,20
"Chillicothe ISD (99902)","2020-10-18","Foard,Hardeman,Wilbarger",205,204,1,0,0,1,0,2,0,2,1,1,2,0,2,4
"Quanah ISD (99903)","2020-10-18","Childress,Cottle,Foard,Hardeman",528,522,NA,NA,NA,NA,NA,NA,NA,0,3,4,25,1,12,19
"Kountze ISD (100903)","2020-10-18","Hardin,Polk,Tyler",1078,912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silsbee ISD (100904)","2020-10-18","Hardin,Jasper,Tyler",2720,2134,0,0,0,1,0,1,0,1,0,3,4,0,5,3
"Hardin-Jefferson ISD (100905)","2020-10-18","Chambers,Hardin,Jefferson,Liberty",2462,1974,0,0,0,1,0,0,1,0,0,18,3,5,9,7
"Lumberton ISD (100907)","2020-10-18","Hardin,Jasper,Jefferson,Orange",4303,3669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Hardin County Cisd (100908)","2020-10-18","Hardin,Liberty,Polk",519,448,NA,NA,NA,NA,NA,NA,NA,0,0,4,3,0,0,7
"Harris County Dept Of Ed (101000)","2020-10-18","Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ser-Ninos Charter School (101802)","2020-10-18","Harris",1110,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristoi Classical Academy (101803)","2020-10-18","Harris",1073,608,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"George I Sanchez Charter (101804)","2020-10-18","Harris",985,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raul Yzaguirre Schools For Success (101806)","2020-10-18","Harris",1328,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Houston Charter School (101807)","2020-10-18","Harris",87,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Accelerated Learning Inc (101810)","2020-10-18","Harris",857,149,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Excel Academy (101811)","2020-10-18","Harris",203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Varnett Public School (101814)","2020-10-18","Harris",2052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief Montessori Community School (101815)","2020-10-18","Harris",327,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amigos Por Vida-Friends For Life Pub Chtr Sch (101819)","2020-10-18","Harris",482,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Heights High School (101821)","2020-10-18","Harris",172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Gateway Academy Inc (101828)","2020-10-18","Harris",2127,882,1,0,0,0,0,1,0,3,0,1,4,0,7,1
"Calvin Nelms Charter Schools (101837)","2020-10-18","Harris",303,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southwest School (101838)","2020-10-18","Harris",1694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Two Dimensions Preparatory Academy (101840)","2020-10-18","Harris",420,216,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Comquest Academy (101842)","2020-10-18","Harris",38,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes Prep Public Schools Inc (101845)","2020-10-18","Harris",13463,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Academy (101846)","2020-10-18","Harris",3692,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beatrice Mayes Institute Charter School (101847)","2020-10-18","Harris",475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy (101849)","2020-10-18","Harris",236,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promise Community School (101853)","2020-10-18","Harris",1306,443,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Meyerpark Elementary (101855)","2020-10-18","Harris",258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draw Academy (101856)","2020-10-18","Harris",713,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony School Of Excellence (101858)","2020-10-18","Harris",6027,434,1,0,0,0,1,0,0,2,0,2,1,2,3,0
"Step Charter School (101859)","2020-10-18","Harris",510,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Rhodes School (101861)","2020-10-18","Harris",723,229,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Harmony School Of Science - Houston (101862)","2020-10-18","Harris",3987,326,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"The Lawson Academy (101864)","2020-10-18","Harris",186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pro-Vision Academy (101868)","2020-10-18","Harris",386,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beta Academy (101870)","2020-10-18","Harris",1168,511,0,0,2,0,0,2,0,1,1,2,0,0,4,0
"A+ Unlimited Potential (101871)","2020-10-18","Harris",152,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etoile Academy Charter School (101872)","2020-10-18","Harris",219,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yellowstone College Preparatory (101873)","2020-10-18","Harris",308,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legacy School Of Sport Sciences (101874)","2020-10-18","Harris",404,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloom Academy Charter School (101875)","2020-10-18","Harris",86,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reve Preparatory Charter School (101876)","2020-10-18","Harris",118,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elevate Collegiate Charter School (101877)","2020-10-18","Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Classical Charter School (101878)","2020-10-18","Harris",54,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD (101902)","2020-10-18","Harris,Montgomery",63330,12669,9,2,8,12,0,0,31,12,6,8,48,1,2,71
"Alief ISD (101903)","2020-10-18","Fort Bend,Harris",41282,2011,0,0,0,10,0,10,0,0,1,1,28,0,30,0
"Channelview ISD (101905)","2020-10-18","Harris",9214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby ISD (101906)","2020-10-18","Chambers,Harris,Liberty",6188,2480,NA,NA,NA,NA,NA,NA,NA,4,4,20,9,13,11,13
"Cypress-Fairbanks ISD (101907)","2020-10-18","Harris",114442,52723,5,5,31,24,1,10,54,24,18,81,93,21,34,161
"Deer Park ISD (101908)","2020-10-18","Harris",12343,8229,NA,NA,NA,NA,NA,NA,NA,4,2,10,4,0,4,16
"Galena Park ISD (101910)","2020-10-18","Harris",21402,140,3,0,1,6,0,10,0,9,1,3,24,0,37,0
"Goose Creek Cisd (101911)","2020-10-18","Chambers,Harris",22990,11512,2,0,7,12,0,21,0,5,1,23,44,7,65,1
"Houston ISD (101912)","2020-10-18","Brazoria,Fort Bend,Harris",195117,51,0,0,1,10,0,0,11,1,0,4,63,0,3,65
