Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-03-01,76424,1006,735,271
2021-03-01,76426,1931,1253,678
2021-03-01,76427,99,70,29
2021-03-01,76429,25,18,7
2021-03-01,76430,454,353,101
2021-03-01,76431,507,326,181
2021-03-01,76432,159,115,44
2021-03-01,76433,314,222,92
2021-03-01,76435,79,53,26
2021-03-01,76436,30,21,9
2021-03-01,76437,429,306,123
2021-03-01,76439,38,26,12
2021-03-01,76442,1833,1063,770
2021-03-01,76443,187,148,39
2021-03-01,76444,946,555,391
2021-03-01,76445,72,46,26
2021-03-01,76446,963,680,283
2021-03-01,76448,1016,611,405
2021-03-01,76449,410,308,102
2021-03-01,76450,2428,1716,712
2021-03-01,76452,10,NA,NA
2021-03-01,76453,298,222,76
2021-03-01,76454,178,119,59
2021-03-01,76455,175,108,67
2021-03-01,76457,584,394,190
2021-03-01,76458,1160,910,250
2021-03-01,76459,37,28,9
2021-03-01,76460,67,45,22
2021-03-01,76461,11,8,NA
2021-03-01,76462,456,315,141
2021-03-01,76463,76,55,21
2021-03-01,76464,60,46,14
2021-03-01,76465,27,21,6
2021-03-01,76466,19,14,NA
2021-03-01,76467,6,NA,NA
2021-03-01,76468,40,22,18
2021-03-01,76469,11,7,NA
2021-03-01,76470,294,194,100
2021-03-01,76471,207,132,75
2021-03-01,76472,226,160,66
2021-03-01,76474,57,35,22
2021-03-01,76475,106,75,31
2021-03-01,76476,390,298,92
2021-03-01,76481,14,12,NA
2021-03-01,76483,420,281,139
2021-03-01,76484,144,101,43
2021-03-01,76485,22,16,6
2021-03-01,76486,203,149,54
2021-03-01,76487,394,255,139
2021-03-01,76490,38,26,12
2021-03-01,76491,126,93,33
2021-03-01,76501,2419,1566,853
2021-03-01,76502,11264,6960,4304
2021-03-01,76503,117,70,47
2021-03-01,76504,3544,2225,1319
2021-03-01,76505,6,NA,NA
2021-03-01,76508,7,NA,NA
2021-03-01,76511,318,199,119
2021-03-01,76513,7572,4727,2845
2021-03-01,76518,201,124,77
