"Date","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Group_Type"
2020-06-22,"75-79 years",490,0.0249643366619116,2,70,0.105740181268882,0,"Age"
2020-06-22,"80+ years",992,0.0505400448339107,2,265,0.400302114803625,0,"Age"
2020-06-22,"Unknown",1,5.09476258406358e-05,1,2,0.00302114803625378,0,"Age"
2020-06-23,"<1 year",76,0.00381526104417671,2,0,0,0,"Age"
2020-06-23,"1-9 years",316,0.015863453815261,8,0,0,0,"Age"
2020-06-23,"10-19 years",840,0.0421686746987952,20,0,0,0,"Age"
2020-06-23,"20-29 years",3301,0.165712851405623,59,11,0.0166163141993958,0,"Age"
2020-06-23,"30-39 years",3647,0.183082329317269,49,13,0.0196374622356495,0,"Age"
2020-06-23,"40-49 years",3624,0.181927710843374,62,26,0.0392749244712991,0,"Age"
2020-06-23,"50-59 years",3495,0.175451807228916,40,72,0.108761329305136,0,"Age"
2020-06-23,"60-64 years",1405,0.0705321285140562,18,60,0.0906344410876133,0,"Age"
2020-06-23,"65-69 years",1049,0.0526606425702811,13,74,0.11178247734139,0,"Age"
2020-06-23,"70-74 years",669,0.0335843373493976,6,69,0.104229607250755,0,"Age"
2020-06-23,"75-79 years",497,0.0249497991967871,7,70,0.105740181268882,0,"Age"
2020-06-23,"80+ years",990,0.0496987951807229,-2,265,0.400302114803625,0,"Age"
2020-06-23,"Unknown",11,0.000552208835341365,10,2,0.00302114803625378,0,"Age"
2020-06-24,"<1 year",82,0.00404838311528018,6,0,0,0,"Age"
2020-06-24,"1-9 years",325,0.0160454208837324,9,0,0,0,"Age"
2020-06-24,"10-19 years",863,0.0426067637620341,23,0,0,0,"Age"
2020-06-24,"20-29 years",3386,0.167168600345594,85,11,0.0166163141993958,0,"Age"
2020-06-24,"30-39 years",3707,0.183016539126142,60,13,0.0196374622356495,0,"Age"
2020-06-24,"40-49 years",3681,0.181732905455443,57,26,0.0392749244712991,0,"Age"
2020-06-24,"50-59 years",3541,0.174821031843989,46,72,0.108761329305136,0,"Age"
2020-06-24,"60-64 years",1419,0.0700567761046655,14,60,0.0906344410876133,0,"Age"
2020-06-24,"65-69 years",1056,0.0521352752406813,7,74,0.11178247734139,0,"Age"
2020-06-24,"70-74 years",675,0.0333251049123673,6,69,0.104229607250755,0,"Age"
2020-06-24,"75-79 years",505,0.0249321155270304,8,70,0.105740181268882,0,"Age"
2020-06-24,"80+ years",1003,0.049518637373488,13,265,0.400302114803625,0,"Age"
2020-06-24,"Unknown",12,0.000592446309553197,1,2,0.00302114803625378,0,"Age"
2020-06-25,"<1 year",82,0.00398464454055105,0,0,0,0,"Age"
2020-06-25,"1-9 years",333,0.0161815442927256,8,0,0,0,"Age"
2020-06-25,"10-19 years",886,0.043053598328393,23,0,0,0,"Age"
2020-06-25,"20-29 years",3461,0.168181155546917,75,11,0.0166163141993958,0,"Age"
2020-06-25,"30-39 years",3770,0.18319646241314,63,13,0.0196374622356495,0,"Age"
2020-06-25,"40-49 years",3742,0.18183585208222,61,26,0.0392749244712991,0,"Age"
2020-06-25,"50-59 years",3575,0.173720783322805,34,72,0.108761329305136,0,"Age"
2020-06-25,"60-64 years",1435,0.0697312794596433,16,60,0.0906344410876133,0,"Age"
2020-06-25,"65-69 years",1066,0.0518003790271636,10,74,0.11178247734139,0,"Age"
2020-06-25,"70-74 years",688,0.0334321395597454,13,69,0.104229607250755,0,"Age"
2020-06-25,"75-79 years",513,0.0249283249914962,8,70,0.105740181268882,0,"Age"
2020-06-25,"80+ years",1016,0.0493707177219496,13,265,0.400302114803625,0,"Age"
2020-06-25,"Unknown",12,0.000583118713251373,0,2,0.00302114803625378,0,"Age"
2020-06-27,"<1 year",85,0.00402462121212121,3,0,0,0,"Age"
2020-06-27,"1-9 years",340,0.0160984848484848,7,0,0,0,"Age"
2020-06-27,"10-19 years",921,0.0436079545454545,35,0,0,0,"Age"
2020-06-27,"20-29 years",3587,0.169839015151515,126,11,0.0166163141993958,0,"Age"
2020-06-27,"30-39 years",3879,0.183664772727273,109,13,0.0196374622356495,0,"Age"
2020-06-27,"40-49 years",3839,0.181770833333333,97,26,0.0392749244712991,0,"Age"
2020-06-27,"50-59 years",3673,0.173910984848485,98,72,0.108761329305136,0,"Age"
