Date,County,Location_ID,sample_location,key_plot_id,ptc_15d,detect_prop_15d,percentile
2022-02-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,16
2022-02-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,16
2022-02-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,16
2022-02-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,16
2022-02-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,16
2022-02-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,16
2022-02-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,22
2022-03-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2639,100,22
2022-03-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2639,100,22
2022-03-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2639,100,22
2022-03-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2639,100,22
2022-03-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2639,100,22
2022-03-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2639,100,22
