County,Date,viral_load,source
Webb,2022-10-12,94.5875031766207,biobot
Webb,2022-10-19,42.56531459018725,biobot
Webb,2022-10-26,66.2998904632506,biobot
Webb,2022-11-02,33.36244355891288,biobot
Webb,2022-11-09,79.87340343412556,biobot
Webb,2022-11-16,108.28033572606168,biobot
Webb,2022-11-23,101.7700885779811,biobot
Webb,2022-11-30,200.84802037851875,biobot
Webb,2022-12-07,257.67853364347934,biobot
Webb,2022-12-14,306.99181383931483,biobot
Webb,2022-12-21,126.19736129400827,biobot
Webb,2022-12-28,456.11898756958647,biobot
Webb,2023-01-04,334.854948096266,biobot
Webb,2023-01-11,221.9634990784706,biobot
Webb,2023-01-18,161.4221193744548,biobot
Webb,2023-01-25,177.59230027498975,biobot
Webb,2023-02-01,136.8625711724301,biobot
Webb,2023-02-08,108.985590644619,biobot
Webb,2023-02-15,74.55409498465622,biobot
Webb,2023-02-22,136.11573317981993,biobot
Webb,2023-03-01,88.0282080224173,biobot
Webb,2023-03-08,48.53469448905591,biobot
Webb,2023-03-15,51.74697831506623,biobot
Webb,2023-03-22,64.000382144187,biobot
Webb,2023-03-29,50.75905188694483,biobot
Webb,2023-04-05,87.07569567106151,biobot
Webb,2023-04-12,56.90605992420783,biobot
Webb,2023-04-19,65.60540318114433,biobot
Webb,2023-04-26,63.05382807037176,biobot
Webb,2023-05-03,39.21493276659834,biobot
Webb,2023-05-10,101.61647077665722,biobot
Webb,2023-05-17,60.43399007623511,biobot
Webb,2023-05-24,29.552414429307685,biobot
Webb,2023-05-31,19.78420044061414,biobot
Webb,2023-06-07,45.72827410237873,biobot
Webb,2023-06-14,40.96593142025056,biobot
Webb,2023-06-21,16.80325108630389,biobot
Webb,2023-06-28,34.77729975553886,biobot
Webb,2023-07-05,91.73264051919368,biobot
Webb,2023-07-12,72.89455478259801,biobot
Webb,2023-07-19,117.35336386187316,biobot
Webb,2023-07-26,81.11595932426962,biobot
Webb,2023-08-02,173.69881993055714,biobot
Webb,2023-08-09,207.72779401175103,biobot
Webb,2023-08-16,126.84928097713424,biobot
Webb,2023-08-23,183.4290327189072,biobot
Harris,2020-07-06,118.47843095848347,houston_wastewater_dashboard
Harris,2020-07-13,117.62947350014758,houston_wastewater_dashboard
Harris,2020-07-20,116.44730576314558,houston_wastewater_dashboard
Harris,2020-07-27,115.36457041212844,houston_wastewater_dashboard
Harris,2020-08-03,114.43098364008846,houston_wastewater_dashboard
Harris,2020-08-10,113.69623975127493,houston_wastewater_dashboard
Harris,2020-08-17,113.20495700529997,houston_wastewater_dashboard
Harris,2020-08-24,112.95756516111078,houston_wastewater_dashboard
Harris,2020-08-31,112.91539919170363,houston_wastewater_dashboard
Harris,2020-09-07,113.03785331614834,houston_wastewater_dashboard
Harris,2020-09-14,113.2816678568073,houston_wastewater_dashboard
Harris,2020-09-21,113.59816904211563,houston_wastewater_dashboard
Harris,2020-09-28,113.9463797940799,houston_wastewater_dashboard
Harris,2020-10-05,114.33402765304045,houston_wastewater_dashboard
Harris,2020-10-12,114.78651001606292,houston_wastewater_dashboard
Harris,2020-10-19,115.33030655805979,houston_wastewater_dashboard
Harris,2020-10-26,115.99454329190438,houston_wastewater_dashboard
Harris,2020-11-02,116.80827606472421,houston_wastewater_dashboard
Harris,2020-11-09,117.7721580215684,houston_wastewater_dashboard
Harris,2020-11-16,118.82929532013418,houston_wastewater_dashboard
Harris,2020-11-23,119.91333314230923,houston_wastewater_dashboard
Harris,2020-11-30,120.957217011245,houston_wastewater_dashboard
Harris,2020-12-07,121.89555471199084,houston_wastewater_dashboard
Harris,2020-12-14,122.66814895174078,houston_wastewater_dashboard
Harris,2020-12-21,123.24221200125012,houston_wastewater_dashboard
Harris,2020-12-28,123.59891682203721,houston_wastewater_dashboard
Harris,2021-01-04,123.71822830350118,houston_wastewater_dashboard
Harris,2021-01-11,123.57818790240886,houston_wastewater_dashboard
Harris,2021-01-18,123.16932741223143,houston_wastewater_dashboard
Harris,2021-01-25,122.5357694024847,houston_wastewater_dashboard
Harris,2021-02-01,121.76490566555385,houston_wastewater_dashboard
Harris,2021-02-08,120.95304488798897,houston_wastewater_dashboard
Harris,2021-02-15,120.19636733830744,houston_wastewater_dashboard
Harris,2021-02-22,119.57036031670805,houston_wastewater_dashboard
Harris,2021-03-01,119.11476104477504,houston_wastewater_dashboard
Harris,2021-03-08,118.83849588930225,houston_wastewater_dashboard
