"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-06-15,"Race","Asian",519,0.0330952684606555,13,0.019578313253012
2020-06-15,"Race","Black",2552,0.162734345109042,85,0.128012048192771
2020-06-15,"Race","Hispanic",6286,0.400841729371254,171,0.257530120481928
2020-06-15,"Race","Other",99,0.0063129702844025,5,0.00753012048192771
2020-06-15,"Race","Unknown",1969,0.125557964545339,121,0.182228915662651
2020-06-15,"Race","White",4257,0.271457722229307,269,0.405120481927711
2020-06-16,"Age","1-9 years",180,0.0114715441973106,0,0
2020-06-16,"Age","10-19 years",471,0.030017207316296,2,0.00301204819277108
2020-06-16,"Age","20-29 years",2436,0.15524823147027,11,0.016566265060241
2020-06-16,"Age","30-39 years",2869,0.182843668344911,13,0.019578313253012
2020-06-16,"Age","40-49 years",2935,0.187049901217258,26,0.0391566265060241
2020-06-16,"Age","50-59 years",2873,0.183098591549296,72,0.108433734939759
2020-06-16,"Age","60-64 years",1226,0.0781339621439042,60,0.0903614457831325
2020-06-16,"Age","65-69 years",887,0.0565292205723026,74,0.11144578313253
2020-06-16,"Age","70-74 years",593,0.0377923650500287,69,0.103915662650602
2020-06-16,"Age","75-79 years",392,0.0249824740296986,70,0.105421686746988
2020-06-16,"Age","80+ years",665,0.0423809827289529,265,0.399096385542169
2020-06-16,"Age","<1 year",41,0.00261296284494296,0,0
2020-06-16,"Age","Unknown",123,0.00783888853482888,2,0.00301204819277108
2020-06-16,"Gender","Female",7006,0.446497992479765,272,0.409638554216867
2020-06-16,"Gender","Male",8395,0.535020075202345,364,0.548192771084337
2020-06-16,"Gender","Unknown",290,0.0184819323178892,28,0.0421686746987952
2020-06-16,"Race","Asian",519,0.0330762857689121,13,0.019578313253012
2020-06-16,"Race","Black",2555,0.162832196800714,85,0.128012048192771
2020-06-16,"Race","Hispanic",6287,0.400675546491619,171,0.257530120481928
2020-06-16,"Race","Other",99,0.00630934930852081,5,0.00753012048192771
2020-06-16,"Race","Unknown",1969,0.125485947358358,121,0.182228915662651
2020-06-16,"Race","White",4262,0.271620674271876,269,0.405120481927711
2020-06-17,"Age","1-9 years",295,0.0160797994113158,0,0
2020-06-17,"Age","10-19 years",761,0.0414804317017334,2,0.00301204819277108
2020-06-17,"Age","20-29 years",2986,0.162760274719285,11,0.016566265060241
2020-06-17,"Age","30-39 years",3374,0.183909299029761,13,0.019578313253012
2020-06-17,"Age","40-49 years",3355,0.182873650932083,26,0.0391566265060241
2020-06-17,"Age","50-59 years",3244,0.176823285729859,72,0.108433734939759
2020-06-17,"Age","60-64 years",1303,0.0710236563828627,60,0.0903614457831325
2020-06-17,"Age","65-69 years",971,0.0529270685708056,74,0.11144578313253
2020-06-17,"Age","70-74 years",609,0.0331952469203096,69,0.103915662650602
2020-06-17,"Age","75-79 years",461,0.0251280933173444,70,0.105421686746988
2020-06-17,"Age","80+ years",904,0.0492750463316254,265,0.399096385542169
2020-06-17,"Age","<1 year",70,0.00381554562302409,0,0
2020-06-17,"Age","Unknown",13,0.000708601329990189,2,0.00301204819277108
2020-06-17,"Gender","Female",9039,0.49269595552164,272,0.409638554216867
2020-06-17,"Gender","Male",9141,0.498255750572332,364,0.548192771084337
