District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
QUEEN CITY ISD,2021-09-12,034907,954,NA,NA,14,2,0,1,15
BLOOMBURG ISD,2021-09-12,034909,251,NA,NA,NA,NA,NA,NA,NA
DIMMITT ISD,2021-09-12,035901,1160,NA,NA,NA,0,NA,NA,NA
HART ISD,2021-09-12,035902,215,NA,NA,NA,NA,NA,NA,NA
NAZARETH ISD,2021-09-12,035903,248,NA,NA,NA,NA,NA,NA,NA
ANAHUAC ISD,2021-09-12,036901,1314,NA,NA,6,1,0,7,0
BARBERS HILL ISD,2021-09-12,036902,6421,NA,NA,NA,14,NA,NA,NA
EAST CHAMBERS ISD,2021-09-12,036903,1425,NA,NA,NA,0,NA,NA,NA
ALTO ISD,2021-09-12,037901,607,NA,NA,11,2,0,0,13
JACKSONVILLE ISD,2021-09-12,037904,4635,NA,NA,NA,16,NA,NA,NA
RUSK ISD,2021-09-12,037907,1959,NA,NA,NA,NA,NA,NA,NA
NEW SUMMERFIELD ISD,2021-09-12,037908,529,NA,NA,13,3,10,0,6
WELLS ISD,2021-09-12,037909,242,NA,NA,NA,0,NA,NA,NA
CHILDRESS ISD,2021-09-12,038901,998,NA,NA,NA,NA,NA,NA,NA
HENRIETTA ISD,2021-09-12,039902,889,NA,NA,NA,1,NA,NA,NA
PETROLIA CISD,2021-09-12,039903,433,NA,NA,NA,1,NA,NA,NA
BELLEVUE ISD,2021-09-12,039904,148,NA,NA,NA,NA,NA,NA,NA
MIDWAY ISD,2021-09-12,039905,129,NA,NA,NA,NA,NA,NA,NA
MORTON ISD,2021-09-12,040901,355,NA,NA,NA,0,NA,NA,NA
WHITEFACE CISD,2021-09-12,040902,328,NA,NA,NA,NA,NA,NA,NA
BRONTE ISD,2021-09-12,041901,243,NA,NA,NA,NA,NA,NA,NA
ROBERT LEE ISD,2021-09-12,041902,254,NA,NA,NA,1,NA,NA,NA
COLEMAN ISD,2021-09-12,042901,825,NA,NA,NA,6,NA,NA,NA
SANTA ANNA ISD,2021-09-12,042903,266,NA,NA,NA,NA,NA,NA,NA
PANTHER CREEK CISD,2021-09-12,042905,148,NA,NA,NA,NA,NA,NA,NA
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,2021-09-12,043801,1419,NA,NA,NA,NA,NA,NA,NA
LONE STAR LANGUAGE ACADEMY,2021-09-12,043802,207,NA,NA,NA,NA,NA,NA,NA
ALLEN ISD,2021-09-12,043901,21641,NA,NA,194,26,0,0,220
