"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Brazos ISD",2020-11-22,8903,"794",647,NA,NA,209,179,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Brazos ISD",2020-11-22,8903,"794",647,NA,NA,332,292,NA,NA,NA,NA,NA,6,0,0,4,2
"Brazos ISD",2020-11-22,8903,"794",647,NA,NA,253,176,NA,NA,NA,NA,NA,10,5,0,1,14
"Brazos ISD Total",2020-11-22,8903,"794",647,NA,NA,794,647,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Muleshoe ISD",2020-11-22,9901,"1336",1277,NA,NA,345,333,NA,0,NA,NA,NA,NA,6,NA,NA,NA
"Muleshoe ISD",2020-11-22,9901,"1336",1277,NA,NA,NA,NA,0,3,0,3,0,0,10,0,9,1
"Muleshoe ISD",2020-11-22,9901,"1336",1277,NA,NA,303,297,0,1,0,1,0,NA,6,NA,NA,NA
"Muleshoe ISD",2020-11-22,9901,"1336",1277,NA,NA,327,308,NA,0,NA,NA,NA,16,8,2,22,0
"Muleshoe ISD",2020-11-22,9901,"1336",1277,NA,NA,361,339,NA,1,NA,NA,NA,47,6,0,53,0
"Muleshoe ISD Total",2020-11-22,9901,"1336",1277,NA,NA,1336,1277,9,5,0,14,0,72,36,2,105,1
"Medina ISD",2020-11-22,10901,"281",274,NA,NA,281,274,NA,NA,NA,NA,NA,0,1,0,1,0
"Medina ISD Total",2020-11-22,10901,"281",274,NA,NA,281,274,NA,NA,NA,NA,NA,0,1,0,1,0
"Bandera ISD",2020-11-22,10902,"2216",1959,NA,NA,561,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bandera ISD",2020-11-22,10902,"2216",1959,NA,NA,459,416,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Bandera ISD",2020-11-22,10902,"2216",1959,NA,NA,537,484,NA,NA,NA,NA,NA,5,2,2,4,1
"Bandera ISD",2020-11-22,10902,"2216",1959,NA,NA,659,569,NA,NA,NA,NA,NA,7,1,0,4,4
"Bandera ISD Total",2020-11-22,10902,"2216",1959,NA,NA,2216,1959,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Bastrop ISD",2020-11-22,11901,"11441",7055,NA,NA,235,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bastrop ISD",2020-11-22,11901,"11441",7055,NA,NA,140,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bastrop ISD",2020-11-22,11901,"11441",7055,NA,NA,717,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bastrop ISD",2020-11-22,11901,"11441",7055,NA,NA,643,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bastrop ISD",2020-11-22,11901,"11441",7055,NA,NA,862,524,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Bastrop ISD",2020-11-22,11901,"11441",7055,NA,NA,749,494,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
