"TSA","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"J - Texas 'J'",2020-06-04,NA,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-05,NA,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-06,NA,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-07,NA,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-08,NA,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-09,8,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-10,22.4285714285714,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-11,22.4285714285714,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-12,23.4285714285714,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-13,24.7142857142857,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-14,25,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-15,25.8571428571429,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-16,35.7142857142857,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-17,23.7142857142857,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-18,32.2857142857143,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-19,34.8571428571429,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-20,41.8571428571429,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-21,41.7142857142857,NA,NA,1,0,0,0,1,1,0
"J - Texas 'J'",2020-06-22,43.7142857142857,NA,NA,1,0,0,0,1,1,0
