County,Date,cases_cumulative,deaths_cumulative
Travis,2021-04-29,82257,848
Travis,2021-04-30,82339,851
Travis,2021-05-01,82402,851
Travis,2021-05-02,82448,851
Travis,2021-05-03,82526,851
Travis,2021-05-04,82566,854
Travis,2021-05-05,82658,856
Travis,2021-05-06,82733,858
Travis,2021-05-07,82815,858
Travis,2021-05-08,82882,858
Travis,2021-05-09,82901,858
Travis,2021-05-10,83002,859
Travis,2021-05-11,83062,861
Travis,2021-05-12,83145,863
Travis,2021-05-13,83201,863
Travis,2021-05-14,83261,864
Travis,2021-05-15,0,0
Travis,2021-05-16,0,0
Travis,2021-05-17,83366,864
Travis,2021-05-18,83403,866
Travis,2021-05-19,83457,866
Travis,2021-05-20,83495,866
Travis,2021-05-21,83524,866
Travis,2021-05-22,0,0
Travis,2021-05-23,0,0
Travis,2021-05-24,0,0
Travis,2021-05-25,83616,866
Travis,2021-05-26,83650,867
Travis,2021-05-27,83693,870
Travis,2021-05-28,83722,870
Travis,2021-05-29,0,0
Travis,2021-05-30,0,0
Travis,2021-05-31,0,0
Travis,2021-06-01,83765,871
Travis,2021-06-02,83830,872
Travis,2021-06-03,83878,873
Travis,2021-06-04,83910,873
Travis,2021-06-05,0,0
Travis,2021-06-06,0,0
Travis,2021-06-07,83962,873
Travis,2021-06-08,84047,873
Travis,2021-06-09,84072,873
Travis,2021-06-10,84104,873
Travis,2021-06-11,0,0
Travis,2021-06-12,0,0
Travis,2021-06-13,0,0
Travis,2021-06-14,0,0
Travis,2021-06-15,84274,877
Travis,2021-06-16,84303,878
Travis,2021-06-17,84344,878
Travis,2021-06-18,0,0
Travis,2021-06-19,0,0
Travis,2021-06-20,0,0
Travis,2021-06-21,84383,879
Travis,2021-06-22,84467,880
Travis,2021-06-23,84509,881
Travis,2021-06-24,84534,881
Travis,2021-06-25,84571,881
Travis,2021-06-26,0,0
Travis,2021-06-27,0,0
Travis,2021-06-28,84610,881
Travis,2021-06-29,84706,881
Travis,2021-06-30,84728,881
Travis,2021-07-01,84770,881
Travis,2021-07-02,84842,884
Travis,2021-07-03,0,0
Travis,2021-07-04,0,0
Travis,2021-07-05,0,0
Travis,2021-07-06,84888,884
Travis,2021-07-07,85047,885
Travis,2021-07-08,85127,887
Travis,2021-07-09,85199,887
Travis,2021-07-10,0,0
Travis,2021-07-11,0,0
Travis,2021-07-12,85284,887
Travis,2021-07-13,85486,888
Travis,2021-07-14,85614,889
Travis,2021-07-15,85787,891
Travis,2021-07-16,85920,891
Travis,2021-07-17,0,0
Travis,2021-07-18,0,0
Travis,2021-07-19,86079,893
Travis,2021-07-20,86361,893
Travis,2021-07-21,86524,893
Travis,2021-07-22,86826,894
Travis,2021-07-23,87125,894
Travis,2021-07-24,0,0
Travis,2021-07-25,0,0
Travis,2021-07-26,87571,894
Travis,2021-07-27,87946,897
Travis,2021-07-28,88436,898
Travis,2021-07-29,88887,900
Travis,2021-07-30,89433,900
Travis,2021-07-31,0,0
Travis,2021-08-01,0,0
Travis,2021-08-02,90126,901
Travis,2021-08-03,90727,901
Travis,2021-08-04,91254,901
Travis,2021-08-05,91894,901
Travis,2021-08-06,92361,903
Travis,2021-08-07,0,0
Travis,2021-08-08,0,0
Travis,2021-08-09,92806,903
Travis,2021-08-10,93389,904
Travis,2021-08-11,93922,907
Travis,2021-08-12,94400,912
Travis,2021-08-13,95054,912
Travis,2021-08-14,0,0
Travis,2021-08-15,0,0
Travis,2021-08-16,96009,919
Travis,2021-08-17,96668,923
Travis,2021-08-18,97515,924
Travis,2021-08-19,98256,924
Travis,2021-08-20,99009,924
Travis,2021-08-21,0,0
Travis,2021-08-22,0,0
Travis,2021-08-23,99717,927
Travis,2021-08-24,100341,928
Travis,2021-08-25,100976,928
Travis,2021-08-26,101576,936
Travis,2021-08-27,102283,943
Travis,2021-08-28,0,0
Travis,2021-08-29,0,0
Travis,2021-08-30,103169,948
Travis,2021-08-31,103893,955
Travis,2021-09-01,104530,961
Travis,2021-09-02,105250,973
Travis,2021-09-03,105988,979
Travis,2021-09-04,0,0
Travis,2021-09-05,0,0
Travis,2021-09-06,0,0
Travis,2021-09-07,107248,981
Travis,2021-09-08,107895,1004
Travis,2021-09-09,108932,1015
Travis,2021-09-10,109645,1015
Travis,2021-09-11,0,0
Travis,2021-09-12,0,0
Travis,2021-09-13,110057,1023
Travis,2021-09-14,110733,1035
Travis,2021-09-15,111361,1038
Travis,2021-09-16,111701,1042
Travis,2021-09-17,112089,1050
Travis,2021-09-18,0,0
Travis,2021-09-19,0,0
Travis,2021-09-20,112620,1055
Travis,2021-09-21,113132,1058
Travis,2021-09-22,113490,1066
Travis,2021-09-23,113743,1076
Travis,2021-09-24,114060,1083
Travis,2021-09-25,0,0
Travis,2021-09-26,0,0
Travis,2021-09-27,114374,1089
Travis,2021-09-28,114766,1093
Travis,2021-09-29,115108,1095
Travis,2021-09-30,115423,1096
Travis,2021-10-01,115667,1097
Travis,2021-10-02,0,0
Travis,2021-10-03,0,0
Travis,2021-10-04,115947,1107
Travis,2021-10-05,116248,1109
Travis,2021-10-06,116389,1114
Travis,2021-10-07,116621,1116
Travis,2021-10-08,116783,1119
Travis,2021-10-09,0,0
Travis,2021-10-10,0,0
Travis,2021-10-11,117141,1121
Travis,2021-10-12,117397,1122
Travis,2021-10-13,117807,1128
Travis,2021-10-14,117954,1130
Travis,2021-10-15,118150,1133
Travis,2021-10-16,0,0
Travis,2021-10-17,0,0
Travis,2021-10-18,118391,1135
Travis,2021-10-19,118564,1136
Travis,2021-10-20,118671,1143
Travis,2021-10-21,118822,1145
Travis,2021-10-22,118951,1148
Travis,2021-10-23,0,0
Travis,2021-10-24,0,0
Travis,2021-10-25,119220,1151
Travis,2021-10-26,119391,1152
Travis,2021-10-27,119524,1156
Travis,2021-10-28,119609,1157
Travis,2021-10-29,119762,1163
Travis,2021-10-30,0,0
Travis,2021-10-31,0,0
Travis,2021-11-01,119847,1163
Travis,2021-11-02,120106,1163
Travis,2021-11-03,120179,1165
Travis,2021-11-04,120299,1167
Travis,2021-11-05,120366,1167
Travis,2021-11-06,0,0
Travis,2021-11-07,0,0
Travis,2021-11-08,120481,1172
Travis,2021-11-09,120737,1175
Travis,2021-11-10,120844,1176
Travis,2021-11-11,0,0
Travis,2021-11-12,120940,1177
Travis,2021-11-13,0,0
Travis,2021-11-14,0,0
Travis,2021-11-15,121156,1179
