"PHR","Date","Rt","lower","upper"
"11 - Harlingen PHR",2020-07-13,1.21760317480333,1.15764475842059,1.28310521004163
"11 - Harlingen PHR",2020-07-14,1.21671224024155,1.15897999023914,1.27600963884822
"11 - Harlingen PHR",2020-07-15,1.19614385306394,1.14164540108732,1.25431876178853
"11 - Harlingen PHR",2020-07-16,1.17315221939767,1.11911532385466,1.22527646129542
"11 - Harlingen PHR",2020-07-17,1.14181667783911,1.0873070795579,1.19328636861496
"11 - Harlingen PHR",2020-07-18,1.12301139323515,1.07456140350877,1.17364433811802
"11 - Harlingen PHR",2020-07-19,1.12417298026769,1.07577298616762,1.17615947925142
"11 - Harlingen PHR",2020-07-20,1.10200792459512,1.05484800594961,1.15052291531096
"11 - Harlingen PHR",2020-07-21,1.06166319812883,1.01417514566484,1.10550265240456
"11 - Harlingen PHR",2020-07-22,1.04075430988659,0.993974820143885,1.08843075539568
"11 - Harlingen PHR",2020-07-23,1.01513051565249,0.971965088600899,1.06329895089483
"11 - Harlingen PHR",2020-07-24,0.979317969308237,0.934498192459976,1.02248020313307
"11 - Harlingen PHR",2020-07-25,0.951610294974575,0.905771812080537,0.99348322147651
"11 - Harlingen PHR",2020-07-26,0.935908147721543,0.889325035902346,0.982513164193394
"11 - Harlingen PHR",2020-07-27,0.959430267379271,0.906074032529445,1.01448962422883
"11 - Harlingen PHR",2020-07-28,0.987987524459603,0.933978568959558,1.04044244728655
"11 - Harlingen PHR",2020-07-29,1.00631506521147,0.953729512766195,1.05831196342959
"11 - Harlingen PHR",2020-07-30,1.03226041570358,0.979121505989732,1.08773531089561
"11 - Harlingen PHR",2020-07-31,1.07797537020061,1.02003338898164,1.13190734557596
"11 - Harlingen PHR",2020-08-01,1.11267401041379,1.05619144715089,1.16808111980602
"11 - Harlingen PHR",2020-08-02,1.12552254559701,1.07511033738721,1.17606659474304
"11 - Harlingen PHR",2020-08-03,1.08742663512736,1.04161788953009,1.13223413025556
"11 - Harlingen PHR",2020-08-04,1.03171180477359,0.987749789449506,1.07350126330296
"11 - Harlingen PHR",2020-08-05,0.983295873850042,0.939817302525524,1.02313272434175
"11 - Harlingen PHR",2020-08-06,0.94114851302823,0.898501953125,0.9821875
"11 - Harlingen PHR",2020-08-07,0.893727223277157,0.853162745098039,0.931713725490196
"11 - Harlingen PHR",2020-08-08,0.85402902591992,0.81453488372093,0.89421511627907
"11 - Harlingen PHR",2020-08-09,0.831349691118762,0.790548764468906,0.873730486015798
"11 - Harlingen PHR",2020-08-10,0.830319706642392,0.781888191435106,0.872772617810682
