"District","LEA","County"
"Hallettsville ISD","143901","Lavaca"
"Hallettsville ISD","143901","Wharton"
"Hallsburg ISD","161924","McLennan"
"Hallsville ISD","102904","Gregg"
"Hallsville ISD","102904","Harrison"
"Hallsville ISD","102904","Rusk"
"Hamilton ISD","97902","Bosque"
"Hamilton ISD","97902","Comanche"
"Hamilton ISD","97902","Hamilton"
"Hamilton ISD","97902","Mills"
"Hamlin ISD","127903","Fisher"
"Hamlin ISD","127903","Haskell"
"Hamlin ISD","127903","Jones"
"Hamlin ISD","127903","Stonewall"
"Hamshire-Fannett ISD","123914","Chambers"
"Hamshire-Fannett ISD","123914","Jefferson"
"Happy ISD","219901","Armstrong"
"Happy ISD","219901","Briscoe"
"Happy ISD","219901","Castro"
"Happy ISD","219901","Randall"
"Happy ISD","219901","Swisher"
"Hardin-Jefferson ISD","100905","Chambers"
"Hardin-Jefferson ISD","100905","Hardin"
"Hardin-Jefferson ISD","100905","Jefferson"
"Hardin-Jefferson ISD","100905","Liberty"
"Hardin ISD","146904","Hardin"
"Hardin ISD","146904","Liberty"
"Hardin ISD","146904","Polk"
"Hardin ISD","146904","San Jacinto"
"Harlandale ISD","15904","Bexar"
"Harleton ISD","102905","Harrison"
"Harleton ISD","102905","Marion"
"Harleton ISD","102905","Upshur"
"Harlingen Cons ISD","31903","Cameron"
"Harlingen Cons ISD","31903","Willacy"
"Harmony ISD","230905","Upshur"
"Harmony ISD","230905","Wood"
"Harper ISD","86902","Gillespie"
"Harper ISD","86902","Kerr"
"Harper ISD","86902","Kimble"
"Harper ISD","86902","Mason"
"Harrold ISD","244901","Archer"
"Harrold ISD","244901","Baylor"
"Harrold ISD","244901","Wichita"
