"LEA","District","County"
229904,"Warren ISD","Hardin,Jasper,Polk,Tyler"
229905,"Spurger ISD","Jasper,Tyler"
229906,"Chester ISD","Angelina,Polk,Tyler"
230901,"Big Sandy ISD","Gregg,Smith,Upshur,Wood"
230902,"Gilmer ISD","Camp,Gregg,Upshur"
230903,"Ore City ISD","Harrison,Marion,Morris,Upshur"
230904,"Union Hill ISD","Camp,Upshur,Wood"
230905,"Harmony ISD","Upshur,Wood"
230906,"New Diana ISD","Gregg,Harrison,Upshur"
230908,"Union Grove ISD","Gregg,Upshur"
231901,"Mccamey ISD","Crane,Crockett,Upton"
231902,"Rankin ISD","Crane,Crockett,Ector,Midland,Reagan,Upton"
232901,"Knippa ISD","Uvalde"
232902,"Sabinal ISD","Frio,Medina,Uvalde,Zavala"
232903,"Uvalde Cisd","Frio,Kinney,Maverick,Medina,Real,Uvalde,Zavala"
232904,"Utopia ISD","Bandera,Kerr,Medina,Real,Uvalde"
233901,"San Felipe-Del Rio Cisd","Edwards,Kinney,Sutton,Val Verde"
233903,"Comstock ISD","Crockett,Sutton,Terrell,Val Verde"
234902,"Canton ISD","Henderson,Kaufman,Van Zandt"
234903,"Edgewood ISD","Rains,Van Zandt"
234904,"Grand Saline ISD","Rains,Smith,Van Zandt,Wood"
234905,"Martins Mill ISD","Henderson,Van Zandt"
234906,"Van ISD","Henderson,Smith,Van Zandt,Wood"
234907,"Wills Point ISD","Hunt,Kaufman,Rains,Van Zandt"
234909,"Fruitvale ISD","Rains,Van Zandt"
235901,"Bloomington ISD","Calhoun,Jackson,Victoria"
235902,"Victoria ISD","DeWitt,Goliad,Jackson,Lavaca,Refugio,Victoria"
235904,"Nursery ISD","DeWitt,Victoria"
236901,"New Waverly ISD","Montgomery,San Jacinto,Walker"
236902,"Huntsville ISD","Grimes,Houston,Madison,Montgomery,San Jacinto,Trinity,Walker"
237902,"Hempstead ISD","Austin,Grimes,Waller,Washington"
237904,"Waller ISD","Grimes,Harris,Montgomery,Waller"
237905,"Royal ISD","Austin,Fort Bend,Harris,Waller"
238902,"Monahans-Wickett-Pyote
ISD","Crane,Ector,Loving,Reeves,Ward,Winkler"
238904,"Grandfalls-Royalty ISD","Crane,Pecos,Reeves,Ward"
239901,"Brenham ISD","Austin,Brazos,Burleson,Grimes,Waller,Washington"
239903,"Burton ISD","Austin,Burleson,Fayette,Lee,Washington"
240901,"Laredo ISD","Webb"
240903,"United ISD","Dimmit,Duval,La Salle,Maverick,McMullen,Webb,Zapata"
240904,"Webb Cisd","Duval,Jim Hogg,Webb,Zapata"
241901,"Boling ISD","Brazoria,Fort Bend,Matagorda,Wharton"
241902,"East Bernard ISD","Austin,Colorado,Fort Bend,Wharton"
241903,"El Campo ISD","Colorado,Jackson,Matagorda,Wharton"
241904,"Wharton ISD","Matagorda,Wharton"
241906,"Louise ISD","Jackson,Matagorda,Wharton"
242902,"Shamrock ISD","Collingsworth,Wheeler"
242903,"Wheeler ISD","Gray,Wheeler"
