County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Travis,2020-11-01,32220,452,77,0
Travis,2020-11-02,32303,454,83,2
Travis,2020-11-03,32451,456,148,2
Travis,2020-11-04,32605,456,154,0
Travis,2020-11-05,32748,456,143,0
Travis,2020-11-06,32928,457,180,1
Travis,2020-11-07,33016,457,88,0
Travis,2020-11-08,33168,457,152,0
Travis,2020-11-09,33382,457,214,0
Travis,2020-11-10,33559,461,177,4
Travis,2020-11-11,33769,462,210,1
Travis,2020-11-12,33960,465,191,3
Travis,2020-11-13,34204,465,244,0
Travis,2020-11-14,34504,466,300,1
Travis,2020-11-15,34612,466,108,0
Travis,2020-11-16,34769,466,157,0
Travis,2020-11-17,35020,469,251,3
Travis,2020-11-18,35326,469,306,0
Travis,2020-11-19,35616,473,290,4
Travis,2020-11-20,35984,476,368,3
Travis,2020-11-21,36175,476,191,0
Travis,2020-11-22,36436,476,261,0
Travis,2020-11-23,36754,476,318,0
Travis,2020-11-24,37120,478,366,2
Travis,2020-11-25,37238,483,118,5
Travis,2020-11-26,37401,483,163,0
Travis,2020-11-27,37666,483,265,0
Travis,2020-11-28,37898,483,232,0
Travis,2020-11-29,38045,483,147,0
Travis,2020-11-30,38377,483,332,0
Travis,2020-12-01,38757,484,380,1
Travis,2020-12-02,39037,486,280,2
Travis,2020-12-03,39267,492,230,6
Travis,2020-12-04,39566,493,299,1
Travis,2020-12-05,39925,494,359,1
Travis,2020-12-06,40209,494,284,0
Travis,2020-12-07,40481,495,272,1
Travis,2020-12-08,40836,496,355,1
Travis,2020-12-09,41092,499,256,3
Travis,2020-12-10,41519,502,427,3
Travis,2020-12-11,41901,504,382,2
Travis,2020-12-12,42136,505,235,1
Travis,2020-12-13,42441,505,305,0
Travis,2020-12-14,42856,507,415,2
Travis,2020-12-15,43469,507,613,0
Travis,2020-12-16,43836,511,367,4
Travis,2020-12-17,44381,512,545,1
Travis,2020-12-18,44796,516,415,4
Travis,2020-12-19,45070,516,274,0
Travis,2020-12-20,45492,516,422,0
Travis,2020-12-21,46029,522,537,6
Travis,2020-12-22,46701,525,672,3
Travis,2020-12-23,47076,528,375,3
Travis,2020-12-24,47537,531,461,3
Travis,2020-12-25,47793,531,256,0
Travis,2020-12-26,48208,531,415,0
Travis,2020-12-27,48424,532,216,1
Travis,2020-12-28,48951,542,527,10
Travis,2020-12-29,49648,544,697,2
Travis,2020-12-30,50194,548,546,4
Travis,2020-12-31,50595,549,401,1
Travis,2021-01-01,51150,550,555,1
Travis,2021-01-02,51558,550,408,0
Travis,2021-01-03,51956,550,398,0
Travis,2021-01-04,52708,554,752,4
Travis,2021-01-05,53272,561,564,7
Travis,2021-01-06,53935,564,663,3
Travis,2021-01-07,54814,565,879,1
Travis,2021-01-08,55406,568,592,3
Travis,2021-01-09,55870,569,464,1
Travis,2021-01-11,56825,573,955,4
Travis,2021-01-13,58286,582,1461,9
Travis,2021-01-14,59394,591,1108,9
Travis,2021-01-15,60084,592,690,1
Travis,2021-01-16,60379,592,295,0
Travis,2021-01-17,60782,592,403,0
Travis,2021-01-18,61468,600,686,8
Travis,2021-01-19,62302,604,834,4
Travis,2021-01-20,63036,621,734,17
Travis,2021-01-21,63751,623,715,2
Travis,2021-01-22,64291,625,540,2
Travis,2021-01-23,64658,625,367,0
Travis,2021-01-24,64963,625,305,0
Travis,2021-01-25,65507,631,544,6
Travis,2021-01-26,66209,641,702,10
Travis,2021-01-27,66859,647,650,6
Travis,2021-01-28,67566,654,707,7
Travis,2021-01-29,68020,655,454,1
Travis,2021-01-30,68290,655,270,0
Travis,2021-01-31,68731,655,441,0
Travis,2021-02-01,69408,660,677,5
Travis,2021-02-02,70089,672,681,12
Travis,2021-02-03,70631,677,542,5
Travis,2021-02-04,71164,680,533,3
Travis,2021-02-05,71426,683,262,3
Travis,2021-02-06,71623,684,197,1
Travis,2021-02-07,71831,684,208,0
Travis,2021-02-08,72279,689,448,5
Travis,2021-02-09,72625,695,346,6
Travis,2021-02-10,72972,701,347,6
Travis,2021-02-11,73259,704,287,3
Travis,2021-02-12,73538,710,279,6
Travis,2021-02-22,74206,714,668,4
Travis,2021-02-23,74598,727,392,13
Travis,2021-02-24,74835,733,237,6
Travis,2021-02-25,75047,734,212,1
Travis,2021-02-26,75362,743,315,9
Travis,2021-02-27,75617,743,255,0
Travis,2021-02-28,75636,743,19,0
Travis,2021-03-01,75901,744,265,1
Travis,2021-03-02,76088,749,187,5
Travis,2021-03-03,76274,754,186,5
Travis,2021-03-04,76365,761,91,7
Travis,2021-03-05,76447,765,82,4
Travis,2021-03-06,76507,766,60,1
Travis,2021-03-07,76638,766,131,0
Travis,2021-03-08,76742,766,104,0
Travis,2021-03-09,76855,772,113,6
Travis,2021-03-10,77082,773,227,1
Travis,2021-03-11,77231,777,149,4
Travis,2021-03-12,77329,778,98,1
Travis,2021-03-13,77408,779,79,1
Travis,2021-03-14,77485,779,77,0
Travis,2021-03-15,77669,780,184,1
Travis,2021-03-16,77775,788,106,8
Travis,2021-03-17,77831,791,56,3
Travis,2021-03-18,77916,796,85,5
Travis,2021-03-19,78011,802,95,6
